pais,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
ARGENTINA ,7086685,252697,186793,102127,117229,72540,48577,83441,83577,87456,  ,  
BOLIVIA ,2186796,37873,25957,27508,24870,26870,27831,33542,29284,26446,  ,  
BRASIL ,1911768,38791,27047,23294,25439,27438,35206,49311,40021,30004,  ,  
COLOMBIA ,397207,8422,4978,8780,6717,5268,5824,5558,5429,6556,  ,  
ECUADOR ,190777,2127,2692,3466,2383,2028,1573,2006,2382,2265,  ,  
GUYANA ,232,2,1,3,4,2,0,0,3,3,  ,  
OTROS PAISES AM. SUR ,9,2,0,0,0,0,1,2,1,0,  ,  
PARAGUAY ,169396,3482,2773,2718,2137,2650,1807,2060,1838,2191,  ,  
PERU ,2139851,34229,33388,32301,27530,26816,22974,27895,28160,24952,  ,  
SURINAME ,398,1,1,0,4,8,3,10,3,5,  ,  
URUGUAY ,232688,3236,2313,3676,4152,2671,2264,2887,2365,2923,  ,  
VENEZUELA ,151320,2138,1430,2136,1787,1364,1151,1626,2786,2534,  ,  
CANADA ,325697,8771,7216,5980,2299,1737,1228,1405,1667,1530,  ,  
EEUU ,1499369,28346,22824,22502,11259,8779,8905,9299,9443,8623,  ,  
MEXICO ,280925,4434,2568,3447,2930,2559,2308,3138,2761,2320,  ,  
OTROS PAISES AM NORTE ,105,2,1,1,1,0,0,0,1,0,  ,  
BELICE ,748,10,6,10,5,4,4,6,2,7,  ,  
COSTA RICA ,35720,858,373,670,451,404,238,389,322,394,  ,  
EL SALVADOR ,14142,123,91,203,124,141,152,133,114,176,  ,  
GUATEMALA ,17015,199,127,244,246,188,178,149,164,169,  ,  
HONDURAS ,7802,108,91,120,130,57,127,77,68,94,  ,  
NICARAGUA ,6921,46,47,74,64,69,60,33,47,56,  ,  
PANAMA ,27697,306,258,435,277,276,217,267,281,283,  ,  
CARIBE ,50253,955,900,1079,970,585,614,600,763,387,0,0
ANTIGUA Y BARBUDA ,233,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
BAHAMAS ,1222,3,7,8,3,3,4,4,3,3,  ,  
BARBADOS ,733,4,5,12,8,5,4,11,1,2,  ,  
BERMUDAS ,215,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
CUBA ,11346,99,88,96,84,66,64,73,82,101,  ,  
DOMINICA ,2047,36,18,7,1,3,2,0,2,4,  ,  
GRANADA ,1199,27,13,1,1,4,0,2,1,1,  ,  
HAITI ,4486,163,123,158,92,44,70,54,85,92,  ,  
JAMAICA ,1536,8,15,35,10,9,15,34,6,9,  ,  
OTROS CARIBE ,556,14,93,12,5,16,9,14,9,11,  ,  
PUERTO RICO ,728,4,2,10,169,4,0,1,0,0,  ,  
REPUBLICA DOMINICANA ,23529,561,505,716,572,417,429,386,563,148,  ,  
SAN VICENTE ,271,5,1,6,0,2,1,3,0,4,  ,  
SANTA LUCIA ,523,0,3,1,6,1,2,1,0,3,  ,  
TRINIDAD Y TOBAGO ,1629,31,27,17,19,11,14,17,11,9,  ,  
ALBANIA ,1344,3,21,5,1,0,1,3,2,3,  ,  
ALEMANIA ,530712,14478,9005,8356,3776,2367,1834,2680,2878,3087,  ,  
ANDORRA ,1041,23,10,7,10,16,10,11,9,6,  ,  
ARMENIA ,188,5,10,0,1,3,0,0,0,1,  ,  
AUSTRIA ,60048,1280,1127,876,436,334,253,291,364,338,  ,  
AZERBAIJAN ,244,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
BELARUS ,93,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
BELGICA ,72481,1376,1231,1342,606,439,301,455,474,414,  ,  
BIELORRUSIA ,1022,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
BOSNIA-HERZEGOVINA ,222,7,4,2,1,0,3,2,1,4,  ,  
BULGARIA ,4254,141,76,109,55,29,33,20,56,34,  ,  
CIUDAD DEL VATICANO ,45,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
CROACIA ,5076,88,66,68,61,41,38,19,39,55,  ,  
DINAMARCA ,42122,941,837,580,377,225,160,242,164,192,  ,  
ESCOCIA ,851,14,8,1,4,1,4,4,0,0,  ,  
ESLOVAQUIA ,5577,118,138,70,106,39,24,37,42,47,  ,  
ESLOVENIA ,5506,80,93,104,40,12,17,23,56,37,  ,  
ESPAÑA ,462182,6466,4974,6394,4696,3733,3803,4472,4389,4503,  ,  
ESTONIA ,2015,81,34,54,14,12,18,10,13,6,  ,  
FEDERACION RUSA ,30807,1339,1139,859,383,312,172,265,333,271,  ,  
FINLANDIA ,24424,368,323,303,272,180,126,119,163,151,  ,  
FRANCIA ,466858,9427,8289,6700,4159,2641,2318,3539,3269,2653,  ,  
GALES ,199,2,1,16,0,0,1,0,0,0,  ,  
